EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
369122,0.8609080816317536,800,535,130,405
369123,0.862300867472783,800,465,103,362
369125,0.8608411589490735,800,498,136,362
369126,0.8608026162060743,800,531,135,396
369127,0.8608407579733496,800,556,140,416
369130,0.8606909104023629,800,514,116,398
369131,0.2701643922127889,800,140,27,113
369132,0.12224653103629435,800,73,18,55
369133,0.02973834292131228,800,29,12,17
369134,0.6051433875466633,800,367,90,277
369137,0.39937234595181326,800,217,52,165
369138,0.8613706529933225,800,550,140,410
369142,0.8610023242253282,800,486,98,388
369144,0.06884891697667818,800,30,8,22
369149,0.8606992284265801,800,499,107,392
369153,0.06240313010163614,800,40,9,31
369157,0.6357900769123586,800,321,67,254
369160,0.8609884228270813,800,510,117,393
369162,0.1867767944556183,800,122,31,91
369163,0.46477600776756545,800,277,67,210
369165,0.31888710151945915,800,196,56,140
369166,0.8604869514612145,800,463,115,348
369168,0.8607500092975456,800,508,133,375
369169,0.5575119440908369,800,315,76,239
369176,0.8611492475226655,800,543,152,391
369177,0.8609417570115975,800,459,109,350
369178,0.8606829258208899,800,492,118,374
369179,0.8604572430775378,800,461,101,360
369951,0.14984308117085726,800,96,31,65
369957,0.40590556070565237,800,246,65,181
369960,0.8607634911824054,800,560,138,422
369965,0.8603454771497959,800,445,82,363
